Neighbourhood,Distance (m),Zipcode,Reviews,Rating,Price,Latitude,Longitude
Borough Park,,11220.073170731708,19.274509803921568,4.1803921568627445,,40.62989545609756,-73.97579790731707
Bronx Park and Fordham,,10464.927710843374,21.46969696969697,4.048484848484848,,40.86951568554217,-73.88201128554216
Bushwick and Williamsburg,,11216.075471698114,13.794117647058824,4.258823529411765,,40.69990044716981,-73.93598055283019
Canarsie and Flatlands,,11235.285714285714,14.5,4.2984375,,40.63029103904762,-73.91062999809523
Central Brooklyn (Bedford Stuyvesant – Crown Heights),,11221.897196261682,11.949367088607595,4.135443037974683,,40.673297152336445,-73.93137057570092
Central Harlem,,10029.09677419355,17.0,4.120833333333334,,40.814496961290324,-73.95169224193549
Central Queens,,11365.987341772152,19.897959183673468,4.275510204081633,,40.732248910126586,-73.80318946962025
Chelsea and Clinton,,10014.010638297872,35.41379310344828,4.337931034482758,,40.7486190606383,-73.99598050957447
Crotona and Tremont,,10456.449275362318,15.859649122807017,3.9000000000000004,,40.84576383188406,-73.89808606086956
East Harlem,,10029.315789473685,19.8125,3.9375,,40.79189100526315,-73.9441034368421
East New York and New Lots,,11207.55421686747,21.64814814814815,3.975925925925926,,40.67529227469879,-73.88157904698795
Flatbush,,11212.87619047619,14.012195121951219,4.19390243902439,,40.64904319619047,-73.94549561809524
Gramercy Park and Murray Hill,,10015.96,42.0,4.466666666666667,,40.748887769999996,-73.97773787
Greenpoint,,11216.09756097561,12.862068965517242,4.244827586206896,,40.71943327560976,-73.9532571317073
Greenwich Village and Soho,,10013.12,25.11764705882353,4.705882352941177,,40.72734712,-73.996406212
HighBridge and Morrisania,,10453.862745098038,22.833333333333332,3.895238095238095,,40.829715066666665,-73.91434015294116
Hunts Point and Mott Haven,,10459.515151515152,13.46808510638298,4.085106382978723,,40.81402394393939,-73.90521032272727
Inwood and Washington Heights,,10033.547169811322,16.75,4.0675,,40.85099801698114,-73.93313159245282
Jamaica,,11428.037878787878,25.5,4.020238095238095,,40.70134018484848,-73.78208054242424
Kingsbridge and Riverdale,,10466.672131147541,14.285714285714286,4.185714285714286,,40.89055411311476,-73.90813183606558
Long Island City and Astoria,,11102.8,25.91549295774648,4.338028169014085,,40.75639285047619,-73.92863870000001
Lower Manhattan,,10032.714285714286,21.166666666666668,4.077777777777778,,40.70909785,-74.00833906785714
Mid-Island (Willowbrook),,10314.0,11.86046511627907,4.374418604651162,,40.60499453723404,-74.14748171489362
North Queens,,11356.297101449276,18.178571428571427,4.309523809523809,,40.77311386304348,-73.81534103550725
Northeast Bronx,,10469.405940594059,17.057971014492754,4.1405797101449275,,40.87940964752475,-73.84517695643564
Northeast Queens,,11362.4,15.787878787878787,4.384848484848485,,40.759965778461535,-73.75619246461538
Northwest Brooklyn ,,11211.941176470587,23.695238095238096,4.197142857142857,0.0,40.6830617757353,-73.98752604117647
Pelham and Throgs Neck,,10465.60625,18.676190476190477,4.100952380952381,,40.834291791249996,-73.84458019125
Port Richmond,,10305.267857142857,10.0,4.180000000000001,,40.63152017857143,-74.13677527857143
Rockaways,,11692.583333333334,15.071428571428571,3.7714285714285714,,40.59046164047619,-73.80140259880952
South Beach and Tottenville,,10306.609756097561,11.225,4.1475,,40.560330757317075,-74.13445890365854
Southeast Queens,,11388.372093023256,16.44927536231884,4.001449275362319,,40.700579050387596,-73.73793475581395
Southern Brooklyn,,11228.987096774194,20.729166666666668,4.0375000000000005,,40.58963217290322,-73.96168371548387
Southwest Brooklyn,,11214.239436619719,20.928571428571427,4.3,,40.61518766056338,-74.01693810985915
Southwest Queens,,11417.245098039215,19.725806451612904,4.32258064516129,,40.6836072245098,-73.83765106470588
Stapleton and St. George,,10303.148936170213,12.613333333333333,4.212,,40.614458788652485,-74.08455390780142
Sunset Park,,11223.0,10.583333333333334,4.2,2.0,40.6504489,-74.00830957
Union Square and Lower East Side,,10004.3125,17.575,4.2299999999999995,,40.724397627083334,-73.98529553958333
Upper East Side,,10063.57627118644,33.55555555555556,4.307407407407407,,40.77239376949153,-73.95527852372882
Upper West Side,,10024.132075471698,28.155555555555555,4.3244444444444445,2.0,40.78825336226415,-73.97400278301886
West Central Queens,,11378.75,29.36111111111111,4.084722222222222,,40.71709604021739,-73.8687775076087
West Queens,,11372.207407407408,28.709302325581394,4.175581395348837,,40.746239671111105,-73.88072162592591
